Nom;Fréquence / 5;Boat Type;Display Name;;
Pirates;16,67;1;Pirates;;
[debut];;;;;
Narrator : An old an battered ship flying a red flag is spotted. Before the crew of NOMBATEAU can do anything, a few of its sailors are on your deck!;;;;;
[arrivée bandits];;;;;[combat]
NewCrew;;;;;LaunchCombat
Narrator : A few sailors show up on the deck.;Node=>bateau vide;OtherSpeak : Well well, did you forget about us, you scallywags?;;;Node=>bateau vide
OtherSpeak : Ahoy, friend!;;Node=>combat;;;
PlayerSpeak : Ahoy!;;;;;
Node=>payed ?;;;;;
;;;;;
[payed ?];;;;;
Node=>chantage;Node=>a payé;;;;
;;;;;
;;;;;
[chantage];;;;;
OtherSpeak : Here is the deal : a third of your gold or you’re done for!;;;;;
SetChoices3;;;;;
Choice : Curse ye, ye old salty kraken, here…(trade);;Choice : I’d sooner die than give yer lot a single shiny coin, ye wretches! (attack);Choice : It’s not much, but it's all we have.;;
Switch=>payed ?;;Node=>combat;OtherSpeak : That’s fine, we’ll take it... and kill you next!;;
CheckGoldTHIRD;OtherSpeak : You’re kidding, right?;;Node=>combat;;
RemoveGoldTHIRD;OtherSpeak : Lads, let’s get that bastard!;;;;
OtherSpeak : Clever choice, my friend.;Node=>combat;;;;
OtherSpeak : Until next time!;;;;;
Leave;;;;;
;;;;;
[a payé];;;;;
OtherSpeak : Well what are you still doing here?;;;;;
OtherSpeak : You want us to take more of your gold?;;;;;
SetChoices2;;;;;
Choice : (leave);Choice : (fight)(attack);;;;
Leave;Node=>combat;;;;
;;;;;
;;;;;
;;;;;
;;;;;
[bateau vide];;;;;
Narrator : The ship is empty.;;;;;
SetChoices2;;;;;
Choice : (leave);Choice : (search)(loot);;;;
DestroyShip;Fade;;;;
Leave;RandomPercent20;;;;
;PlayerSpeak : There’s nothing valuable here.;[fouille];;;
;Fade;RandomRange3;;;PlayerSpeak : Nothing left here.
;Node=>bateau vide;PlayerSpeak : Nice, weapons!;PlayerSpeak : Some food, miraculously still edible!;PlayerSpeak : A few baubles...;Fade
;;LootWeapons;LootFood;LootMisc;Node=>bateau vide
;;Switch=>fouille;Switch=>fouille;Switch=>fouille;
;;Fade;Fade;Fade;
;;Node=>bateau vide;Node=>bateau vide;Node=>bateau vide;
